Month,Mdate,Time,Hourly_Counts
April,12,2,26.0
April,12,3,30.0
April,12,4,12.0
April,12,5,35.0
April,12,6,118.0
April,12,7,336.0
April,12,8,778.0
April,12,9,950.0
April,12,10,1421.0
April,12,11,2194.0
April,12,12,3377.0
April,12,13,3707.0
April,12,14,3308.0
April,12,15,3185.0
April,12,16,3158.0
April,12,17,3576.0
April,12,18,2983.0
April,12,19,1868.0
April,12,20,1126.0
April,12,21,832.0
April,12,22,432.0
April,12,23,236.0
April,13,0,106.0
April,13,1,45.0
April,13,2,39.0
April,13,3,24.0
April,13,4,20.0
April,13,5,32.0
April,13,6,91.0
April,13,7,284.0
April,13,8,760.0
April,13,9,1070.0
April,13,10,1506.0
April,13,11,2220.0
April,13,12,3460.0
April,13,13,3865.0
April,13,14,3462.0
April,13,15,3247.0
April,13,16,3502.0
April,13,17,4016.0
April,13,18,3394.0
April,13,19,2558.0
April,13,20,2010.0
April,13,21,1284.0
April,13,22,688.0
April,13,23,410.0
April,14,0,251.0
April,14,1,172.0
April,14,2,156.0
April,14,3,127.0
April,14,4,92.0
April,14,5,48.0
April,14,6,46.0
April,14,7,94.0
April,14,8,188.0
April,14,9,434.0
April,14,10,958.0
April,14,11,1544.0
April,14,12,1978.0
April,14,13,2080.0
April,14,14,2248.0
April,14,15,2265.0
April,14,16,2251.0
April,14,17,1930.0
April,14,18,1624.0
April,14,19,1570.0
April,14,20,764.0
April,14,21,579.0
April,14,22,434.0
April,14,23,350.0
April,15,0,161.0
April,15,1,112.0
April,15,2,62.0
April,15,3,84.0
April,15,4,36.0
April,15,5,22.0
April,15,6,35.0
April,15,7,84.0
April,15,8,231.0
April,15,9,690.0
April,15,10,1324.0
April,15,11,2227.0
April,15,12,2784.0
April,15,13,3281.0
April,15,14,3636.0
April,15,15,3542.0
April,15,16,3378.0
April,15,17,2907.0
April,15,18,2212.0
April,15,19,1352.0
April,15,20,579.0
April,15,21,436.0
April,15,22,378.0
April,15,23,206.0
April,16,0,139.0
April,16,1,136.0
April,16,2,87.0
April,16,3,78.0
April,16,4,53.0
April,16,5,42.0
April,16,6,76.0
April,16,7,218.0
April,16,8,500.0
April,16,9,869.0
April,16,10,1352.0
April,16,11,2010.0
April,16,12,3050.0
April,16,13,3407.0
April,16,14,3294.0
April,16,15,3183.0
April,16,16,3194.0
April,16,17,3207.0
April,16,18,2466.0
April,16,19,1487.0
April,16,20,822.0
April,16,21,596.0
April,16,22,314.0
April,16,23,206.0
April,17,0,134.0
April,17,1,102.0
April,17,2,38.0
April,17,3,47.0
April,17,4,37.0
April,17,5,18.0
April,17,6,80.0
April,17,7,217.0
April,17,8,514.0
April,17,9,847.0
April,17,10,1361.0
April,17,11,2068.0
April,17,12,2884.0
April,17,13,3482.0
April,17,14,3144.0
April,17,15,3188.0
April,17,16,3086.0
April,17,17,3120.0
April,17,18,2332.0
April,17,19,1396.0
April,17,20,774.0
April,17,21,494.0
April,17,22,306.0
April,17,23,153.0
April,18,0,83.0
April,18,1,59.0
April,18,2,19.0
April,18,3,16.0
April,18,4,36.0
April,18,5,28.0
April,18,6,98.0
April,18,7,346.0
April,18,8,884.0
April,18,9,1007.0
April,18,10,1528.0
April,18,11,2124.0
April,18,12,3544.0
April,18,13,3924.0
April,18,14,3289.0
April,18,15,3190.0
April,18,16,3114.0
April,18,17,3538.0
April,18,18,2904.0
April,18,19,1490.0
April,18,20,856.0
April,18,21,630.0
April,18,22,340.0
April,18,23,203.0
April,19,0,80.0
April,19,1,70.0
April,19,2,32.0
April,19,3,30.0
April,19,4,18.0
April,19,5,34.0
April,19,6,130.0
April,19,7,356.0
April,19,8,883.0
April,19,9,1131.0
April,19,10,1552.0
April,19,11,2262.0
April,19,12,3485.0
April,19,13,3849.0
April,19,14,3302.0
April,19,15,3134.0
April,19,16,3052.0
April,19,17,3668.0
April,19,18,3026.0
April,19,19,1860.0
April,19,20,1238.0
April,19,21,810.0
April,19,22,410.0
April,19,23,230.0
April,20,0,138.0
April,20,1,80.0
April,20,2,42.0
April,20,3,42.0
April,20,4,29.0
April,20,5,42.0
April,20,6,121.0
April,20,7,370.0
April,20,8,912.0
April,20,9,1199.0
April,20,10,1656.0
April,20,11,2262.0
April,20,12,3687.0
April,20,13,3947.0
April,20,14,3329.0
April,20,15,3222.0
April,20,16,3389.0
April,20,17,3960.0
April,20,18,3381.0
April,20,19,2456.0
April,20,20,1925.0
April,20,21,1179.0
April,20,22,664.0
April,20,23,433.0
April,21,0,244.0
April,21,1,144.0
April,21,2,75.0
April,21,3,49.0
April,21,4,28.0
April,21,5,22.0
April,21,6,86.0
