Month,Mdate,Time,Hourly_Counts
April,1,0,824.0
April,1,1,486.0
April,1,2,415.0
April,1,3,230.0
April,1,4,220.0
April,1,5,159.0
April,1,6,263.0
April,1,7,484.0
April,1,8,628.0
April,1,9,1081.0
April,1,10,1547.0
April,1,11,1734.0
April,1,12,1947.0
April,1,13,2190.0
April,1,14,2455.0
April,1,15,2278.0
April,1,16,2313.0
April,1,17,2203.0
April,1,18,2185.0
April,1,19,2085.0
April,1,20,1692.0
April,1,21,1533.0
April,1,22,1058.0
April,1,23,898.0
April,2,0,363.0
April,2,1,228.0
April,2,2,146.0
April,2,3,79.0
April,2,4,104.0
April,2,5,125.0
April,2,6,156.0
April,2,7,273.0
April,2,8,518.0
April,2,9,1053.0
April,2,10,1459.0
April,2,11,1913.0
April,2,12,2134.0
April,2,13,2625.0
April,2,14,2599.0
April,2,15,2453.0
April,2,16,2400.0
April,2,17,2389.0
April,2,18,2226.0
April,2,19,1812.0
April,2,20,1321.0
April,2,21,1000.0
April,2,22,860.0
April,2,23,458.0
April,3,0,177.0
April,3,1,79.0
April,3,2,70.0
April,3,3,50.0
April,3,4,60.0
April,3,5,132.0
April,3,6,625.0
April,3,7,1410.0
April,3,8,2511.0
April,3,9,1813.0
April,3,10,1778.0
April,3,11,2079.0
April,3,12,2882.0
April,3,13,3173.0
April,3,14,2834.0
April,3,15,3052.0
April,3,16,3373.0
April,3,17,4162.0
April,3,18,3343.0
April,3,19,2365.0
April,3,20,1667.0
April,3,21,1494.0
April,3,22,949.0
April,3,23,588.0
April,4,0,164.0
April,4,1,73.0
April,4,2,57.0
April,4,3,52.0
April,4,4,76.0
April,4,5,192.0
April,4,6,622.0
April,4,7,1502.0
April,4,8,2764.0
April,4,9,1836.0
April,4,10,1812.0
April,4,11,2202.0
April,4,12,2976.0
April,4,13,3313.0
April,4,14,3013.0
April,4,15,3021.0
April,4,16,3427.0
April,4,17,4252.0
April,4,18,3392.0
April,4,19,2372.0
April,4,20,1782.0
April,4,21,1501.0
April,4,22,1130.0
April,4,23,686.0
April,5,0,244.0
April,5,1,108.0
April,5,2,79.0
April,5,3,79.0
April,5,4,53.0
April,5,5,144.0
April,5,6,588.0
April,5,7,1490.0
April,5,8,2701.0
April,5,9,1737.0
April,5,10,1714.0
April,5,11,2016.0
April,5,12,2919.0
April,5,13,3107.0
April,5,14,2998.0
April,5,15,2967.0
April,5,16,3271.0
April,5,17,4206.0
April,5,18,3348.0
April,5,19,2290.0
April,5,20,1853.0
April,5,21,1523.0
April,5,22,1137.0
April,5,23,709.0
April,6,0,273.0
April,6,1,136.0
April,6,2,109.0
April,6,3,79.0
April,6,4,66.0
April,6,5,157.0
April,6,6,582.0
April,6,7,1408.0
April,6,8,2730.0
April,6,9,1871.0
April,6,10,1903.0
April,6,11,2129.0
April,6,12,2851.0
April,6,13,3236.0
April,6,14,2897.0
April,6,15,3100.0
April,6,16,3270.0
April,6,17,4205.0
April,6,18,3497.0
April,6,19,2447.0
April,6,20,2055.0
April,6,21,1768.0
April,6,22,1470.0
April,6,23,1172.0
April,7,0,550.0
April,7,1,373.0
April,7,2,277.0
April,7,3,210.0
April,7,4,174.0
April,7,5,187.0
April,7,6,465.0
April,7,7,1036.0
April,7,8,1755.0
April,7,9,1534.0
April,7,10,1723.0
April,7,11,2165.0
April,7,12,2635.0
April,7,13,3000.0
April,7,14,3006.0
April,7,15,3007.0
April,7,16,3232.0
April,7,17,3484.0
April,7,18,2975.0
April,7,19,2340.0
April,7,20,1882.0
April,7,21,1778.0
April,7,22,1610.0
April,7,23,1287.0
April,8,0,792.0
April,8,1,626.0
April,8,2,399.0
April,8,3,320.0
April,8,4,257.0
April,8,5,190.0
April,8,6,297.0
April,8,7,434.0
April,8,8,780.0
April,8,9,1175.0
April,8,10,1634.0
April,8,11,1967.0
April,8,12,2196.0
April,8,13,2454.0
April,8,14,2430.0
April,8,15,2531.0
April,8,16,2371.0
April,8,17,2177.0
April,8,18,2034.0
April,8,19,1748.0
April,8,20,1267.0
April,8,21,1129.0
April,8,22,972.0
April,8,23,792.0
April,9,0,422.0
April,9,1,287.0
April,9,2,259.0
April,9,3,202.0
April,9,4,154.0
April,9,5,197.0
April,9,6,436.0
April,9,7,884.0
April,9,8,1620.0
April,9,9,1366.0
April,9,10,1499.0
April,9,11,1871.0
April,9,12,2325.0
April,9,13,2676.0
April,9,14,2456.0
April,9,15,2645.0
April,9,16,2606.0
April,9,17,2968.0
April,9,18,2472.0
April,9,19,1818.0
April,9,20,1414.0
April,9,21,1134.0
April,9,22,726.0
April,9,23,497.0
April,10,0,286.0
April,10,1,160.0
April,10,2,85.0
April,10,3,49.0
April,10,4,51.0
April,10,5,137.0
April,10,6,460.0
April,10,7,1271.0
April,10,8,2424.0
April,10,9,1687.0
April,10,10,1519.0
April,10,11,1896.0
April,10,12,2680.0
April,10,13,2858.0
April,10,14,2505.0
April,10,15,2624.0
April,10,16,3018.0
April,10,17,3967.0
April,10,18,3145.0
April,10,19,2133.0
April,10,20,1586.0
April,10,21,1210.0
April,10,22,854.0
April,10,23,491.0
April,11,0,196.0
April,11,1,99.0
April,11,2,67.0
April,11,3,63.0
April,11,4,70.0
April,11,5,164.0
April,11,6,548.0
April,11,7,1360.0
April,11,8,2626.0
April,11,9,1819.0
April,11,10,1838.0
April,11,11,2140.0
April,11,12,2953.0
April,11,13,3230.0
April,11,14,2892.0
April,11,15,3007.0
April,11,16,3355.0
April,11,17,4232.0
April,11,18,3311.0
April,11,19,2291.0
April,11,20,1695.0
April,11,21,1494.0
April,11,22,1236.0
April,11,23,687.0
April,12,0,212.0
April,12,1,143.0
April,12,2,73.0
April,12,3,75.0
April,12,4,50.0
April,12,5,132.0
April,12,6,588.0
April,12,7,1445.0
April,12,8,2642.0
April,12,9,1843.0
April,12,10,1731.0
April,12,11,2048.0
April,12,12,2767.0
April,12,13,3383.0
April,12,14,2898.0
April,12,15,3093.0
April,12,16,3418.0
April,12,17,4138.0
April,12,18,3390.0
April,12,19,2363.0
April,12,20,2012.0
April,12,21,1656.0
April,12,22,1198.0
April,12,23,830.0
April,13,0,295.0
April,13,1,172.0
April,13,2,125.0
April,13,3,85.0
April,13,4,78.0
April,13,5,159.0
April,13,6,586.0
April,13,7,1424.0
April,13,8,2628.0
April,13,9,1837.0
April,13,10,1816.0
April,13,11,2087.0
April,13,12,2893.0
April,13,13,3365.0
April,13,14,2998.0
April,13,15,3086.0
April,13,16,3485.0
April,13,17,4213.0
April,13,18,3474.0
April,13,19,2697.0
April,13,20,2404.0
April,13,21,1990.0
April,13,22,1637.0
April,13,23,1285.0
April,14,0,693.0
April,14,1,455.0
April,14,2,431.0
April,14,3,382.0
April,14,4,242.0
April,14,5,137.0
April,14,6,164.0
April,14,7,329.0
April,14,8,632.0
April,14,9,854.0
April,14,10,1315.0
April,14,11,1513.0
April,14,12,1822.0
April,14,13,1832.0
April,14,14,1987.0
April,14,15,2269.0
April,14,16,2298.0
April,14,17,2304.0
April,14,18,2075.0
April,14,19,1818.0
April,14,20,1556.0
April,14,21,1349.0
April,14,22,1204.0
April,14,23,948.0
April,15,0,610.0
April,15,1,510.0
April,15,2,315.0
April,15,3,258.0
April,15,4,204.0
April,15,5,149.0
April,15,6,210.0
