Trading name,Industry (ANZSIC4) description,Longitude,Latitude
Fry's Fast Park / Notel,Parking Services,144.9610572,-37.81799198
The PAC Group,Engineering Design and Engineering Consulting Services,144.9187862,-37.82221049
Tim Ho Wan,Cafes and Restaurants,144.96687680000002,-37.81259409
City Stamps ,Antique and Used Goods Retailing,144.9632938,-37.81554941
First Charnock Pty Ltd,Other Auxiliary Finance and Investment Services,144.96325380000002,-37.81706705
National Fleet Australia,Commercial Vehicle Wholesaling,144.9519882,-37.80422068
MU Student Union Limited,Other Administrative Services n.e.c.,144.9612468,-37.79739836
Community Training Initiatives,Technical and Vocational Education and Training,144.94019939999998,-37.81427742
Vacant,Vacant Space,144.9707325,-37.8091842
Vesta Partners Pty Ltd,Computer System Design and Related Services,144.9662623,-37.82066923
Block Chain Centre,Other Administrative Services n.e.c.,144.9651132,-37.822555200000004
Slate Accounts,Accounting Services,144.965095,-37.81763649
Parke Lawyers,Legal Services,144.95892369999999,-37.81817724
Vacant,Vacant Space,144.97143469999997,-37.81471553
Gemco Rail,Railway Rolling Stock Manufacturing and Repair Services,144.93297019999997,-37.8247005
Podium Sports,Clothing Retailing,144.9523782,-37.82539976
Glic Consulting Group,Other Personal Services n.e.c.,144.97270830000002,-37.81342593
Pie Face Exhibition Street,Takeaway Food Services,144.9709029,-37.812234000000004
M & T Resources / SMS Consulting,Employment Placement and Recruitment Services,144.9589392,-37.81595642
Monkey King Migration & Education Service Pty Ltd,Other Personal Services n.e.c.,144.9591969,-37.81499761
CSE Crosscom,Communications Equipment Manufacturing,144.9382696,-37.7940216
Mamak ,Cafes and Restaurants,144.9614561,-37.81220274
Enernoc,Computer System Design and Related Services,144.9578132,-37.81636534
Coles Express ,Fuel Retailing,144.9187654,-37.79214606
Hub Melbourne,Other Interest Group Services n.e.c.,144.9541004,-37.81721781
New Horizon Migration & Education,Other Personal Services n.e.c.,144.9648395,-37.8125239
Murdockcheng Legal Practice Pty Limited,Legal Services,144.95998569999998,-37.81452036
Mr Sam Patten,Specialist Medical Services,144.9841619,-37.81229599
Menya Ramen ,Takeaway Food Services,144.96294419999998,-37.81491502
Holding Redlich,Legal Services,144.9578132,-37.81636534
Souvenirs on Swanston,Other Store-Based Retailing n.e.c.,144.9656851,-37.81429892
Hawthorn Resources,Iron Ore Mining,144.9592234,-37.81698718
Vacant,Vacant Space,144.9670208,-37.80644588
Crystal Nest Pty Ltd,Other Grocery Wholesaling,144.90633590000002,-37.82797655
Universal Lighting and Audio,Other Electrical and Electronic Good Wholesaling,144.920988,-37.82600955
Moremas Land Pty Ltd,Land Development and Subdivision,144.96975030000002,-37.81583675
Elwood Jeans,Clothing Retailing,144.9523782,-37.82539976
Woodward Nhill Pty Ltd,Other Auxiliary Finance and Investment Services,144.96382869999997,-37.82082512
Emil Braun Jewellery,Jewellery and Silverware Manufacturing,144.9658102,-37.81472467
vacant,Vacant Space,144.9701104,-37.794046200000004
Pickett's Deli & Rotisserie,Cafes and Restaurants,144.95723950000001,-37.80745984
Dr Kerryn Rhonda Saunders,Specialist Medical Services,144.9771931,-37.83854242
Aroma Thai Massage And Skin Care,Other Allied Health Services,144.9579756,-37.80975749
Ma's Dumpling Den,Cafes and Restaurants,144.96659019999998,-37.80049164
CD Traill Lawyers,Legal Services,144.9612988,-37.81565401
Story Coffee & Food Store,Cafes and Restaurants,144.9493733,-37.81733574
Prof Rodney Thomas Judson/Prof Richard Mark Fox /Dr Anita Skandarajah,Specialist Medical Services,144.9559628,-37.79854141
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
Vacant,Vacant Space,144.93782990000003,-37.81315031
NICTA,Computer System Design and Related Services,144.94930219999998,-37.81161415
Doctor GL Chemist,Other Specialised Food Retailing,144.95643619999998,-37.82024746
Pioneer Facility Services,Building and Other Industrial Cleaning Services,144.9373602,-37.79692985
Vacant,Vacant Space,144.96659780000002,-37.81376503
Vacant,Vacant Space,144.96659780000002,-37.81376503
Vacant,Vacant Space,144.96659780000002,-37.81376503
Vacant,Vacant Space,144.96659780000002,-37.81376503
Vacant,Vacant Space,144.96659780000002,-37.81376503
Coles Express,Fuel Retailing,144.9680073,-37.79752827
TT Global,Real Estate Services ,144.95998569999998,-37.81452036
Chokolait,Cafes and Restaurants,144.9638386,-37.81245199
The Honesty Shoppe,Other Grocery Wholesaling,144.9374709,-37.79725949
Haines And Polites Legal Practitioners,Legal Services,144.96018859999998,-37.81547268
Ms Lynley Faye Traeger,Jewellery and Silverware Manufacturing,144.9667041,-37.81674222
Create Foundation Limited,Other Social Assistance Services,144.95716819999998,-37.80412134
J & M Accountants & Business Advisors,Accounting Services,144.9624375,-37.81798973
Boost Juice Melbourne Galleria,Takeaway Food Services,144.96294419999998,-37.81491502
Meze Table / Boreks,Takeaway Food Services,144.95723950000001,-37.80745984
Vacant (Shop 40),Vacant Space,144.96222969999997,-37.81512975
Vacant,Vacant Space,144.96817180000002,-37.809942799999995
National Australia Bank Limited,Banking,144.9691023,-37.80346001
Roscher Creative,Other Specialised Design Services,144.9617626,-37.81212877
Wesfarmers ,General Insurance,144.9706892,-37.82963504
Huada Exchange & Development,Other Personal Services n.e.c.,144.9591969,-37.81499761
vacant,Vacant Space,144.9508616,-37.81114228
Clarion Suites Gateway,Accommodation,144.9595106,-37.81943285
Lanes Edge Cafe,Cafes and Restaurants,144.9720472,-37.81193572
Witchery,Clothing Retailing,144.95834319999997,-37.82559096
Uniqlo,Clothing Retailing,144.96294419999998,-37.81491502
Transit Rooftop Bar,"Pubs, Taverns and Bars",144.9699175,-37.81784465
Praemium,Computer System Design and Related Services,144.9621886,-37.81758572
Queensberry Children's Centre,Child Care Services,144.96100230000002,-37.80395655
DI Office Design,Furniture Retailing,144.93584180000002,-37.791456200000006
The Victorian Formula One And Special Events Shop,Other Store-Based Retailing n.e.c.,144.96394750000002,-37.81528286
Victorian Water Industry Association,Business and Professional Association Services,144.9735468,-37.81304887
Heirloom ,Cafes and Restaurants,144.9694638,-37.8130107
QnFlowers,Flower Retailing,144.95723950000001,-37.80745984
Pacinos Italian Restaurant,Cafes and Restaurants,144.91552119999997,-37.78257294
By Projects Architeture,Architectural Services,144.9624215,-37.80924597
LJtronics,Electronic (except Domestic Appliance) and Precision Equipment Repair and Maint,144.9644466,-37.81771534
Law Offices Of Ellinghaus & Lindner,Legal Services,144.944582,-37.80435486
University of Melbourne,Higher Education,144.9612468,-37.79739836
S.A.R.U,Other Interest Group Services n.e.c.,144.9661707,-37.81699341
Antony Sdrinis & Co,Legal Services,144.9715313,-37.80981882
Dr Mary Stampoulos / Dr Marija Vidovicic,Dental Services,144.9844938,-37.80967241
Tiamo 2,Cafes and Restaurants,144.9669817,-37.79812248
Galleria Medical Centre,General Practice Medical Services,144.9632938,-37.81554941
TM Reality,Real Estate Services ,144.9479753,-37.81925128
Restuarant Ayams Chef,Cafes and Restaurants,144.9679591,-37.82998246
Print on Demand,Printing,144.96063669999998,-37.81581152
Grill'd Healthy Burgers,Cafes and Restaurants,144.9617817,-37.81367176
Tattslotto,Lottery Operation,144.9523393,-37.81815358
Warakirri Asset Management,Financial Asset Investing,144.96153230000002,-37.81755885
Caelli Constructions,Heavy Machinery and Scaffolding Rental and Hiring,144.9253775,-37.82304058
Royal Park Tennis Club,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",144.9508625,-37.78603284
Thoroughbred Racing Productions (Vic) Pty Ltd,Motion Picture and Video Production,144.9345251,-37.82495144
Rangedale Draining & Civil Services,Sewerage and Drainage Services,144.91377350000002,-37.80083327
Meta PM Pty Ltd,Management Advice and Other Consulting Services,144.9603119,-37.816999100000004
Gary Johnson Computerised Engraving,Metal Coating and Finishing,144.9658102,-37.81472467
Paramount Therapy & Sauna ,Other Personal Services n.e.c.,144.9697778,-37.81170307
White and Mason Lawyers,Legal Services,144.9566017,-37.81988484
Wheelhouse Advisory,Accounting Services,144.96397030000003,-37.81130304
Cricket Victoria,Sport and Physical Recreation Administrative Service,144.97971950000002,-37.81819362
City Osteopathy,Chiropractic and Osteopathic Services,144.9605409,-37.81549904
Prada,Other Personal Accessory Retailing,144.9586604,-37.82312164
Pie Face,Bakery Product Manufacturing (Non-factory based),144.9605226,-37.80918797
Dynamic Body Therapy,Chiropractic and Osteopathic Services,144.9645574,-37.81567229
The Hardware Societe,Cafes and Restaurants,144.96070319999998,-37.81194755
Hudson,Employment Placement and Recruitment Services,144.9702813,-37.8139675
Vacant (Shop 16),Vacant Space,144.96222969999997,-37.81512975
Europcar,Passenger Car Rental and Hiring,144.9617628,-37.80816923
ARTC,Rail Freight Transport,144.94995169999999,-37.81158684
Asian Pacific Business Centres Pty Ltd,Non-Residential Property Operators ,144.95795139999998,-37.8176551
Watercooler Talent and Media,Management Advice and Other Consulting Services,144.9686368,-37.80131676
Salt Marketing,Advertising Services,144.9649678,-37.81719024
Flavour Town Hot Pot,Cafes and Restaurants,144.967177,-37.81265943
The Australian Legal Costing Group,Legal Services,144.96016819999997,-37.81091493
Sharoam Consulting,Other Personal Services n.e.c.,144.9649678,-37.81719024
NIB Dental Centre ,Dental Services,144.96258669999997,-37.8162988
Morgans,Other Auxiliary Finance and Investment Services,144.96382869999997,-37.82082512
Melbourne College of Hair And Beauty,Technical and Vocational Education and Training,144.9661689,-37.81748213
Helioscreen Australia Pty Limited ,Furniture Retailing,144.9253775,-37.82304058
North Melbourne Language & Learning,Other Interest Group Services n.e.c.,144.9409544,-37.79162745
Uni Curry,Takeaway Food Services,144.9612468,-37.79739836
Xchanging ,Auxiliary Insurance Services,144.9580529,-37.81075363
Triumph International Group,Other Auxiliary Finance and Investment Services,144.9558446,-37.81824465
Jetset Training College,Technical and Vocational Education and Training,144.96018859999998,-37.81547268
Liberty,Fuel Retailing,144.9473824,-37.79412481
N on Doc,Women's Clothing Retailing,144.93782990000003,-37.81315031
Sebel Melbourne - Flinders Lane,Accommodation,144.96372380000003,-37.81771479
OPPA (Korean Kitchen),Cafes and Restaurants,144.964551,-37.81190136
Ken Oriental Noodle Bar,Takeaway Food Services,144.9681789,-37.79803089
Catholic Theological School,Secondary Education,144.98056,-37.80925859
Ramen Ya,Cafes and Restaurants,144.9638386,-37.81245199
Henderson & Lodge,Architectural Services,144.9591221,-37.81858017
Power Customs Services,Customs Agency Services,144.93902690000002,-37.81517782
Davidson Trahaire Corpsych Pty Limited,Management Advice and Other Consulting Services,144.9599676,-37.81482935
Mail Exchange Hotel,"Pubs, Taverns and Bars",144.95359019999998,-37.81663038
Vacant,Vacant Space,144.9512219,-37.81433403
Drawing Initiatives,Architectural Services,144.9667041,-37.81674222
Technical Assessing (Vic) Pty Ltd,Auxiliary Insurance Services,144.9610121,-37.81288006
Travelmate Money Exchange,Other Auxiliary Finance and Investment Services,144.96214709999998,-37.81270589
C W Stirling & Co Pty Ltd,Accounting Services,144.9626303,-37.81841106
Conveyor,Clothing Retailing,144.9523782,-37.82539976
Tarapath Pty Limited ,Other Electrical and Electronic Good Wholesaling,144.93584180000002,-37.791456200000006
Brow Theory,Hairdressing and Beauty Services,144.9628783,-37.81261442
Son of the Bean,Takeaway Food Services,144.9707353,-37.81595762
Fenwick Software,Computer System Design and Related Services,144.96289140000002,-37.8210403
In a Rush ,Takeaway Food Services,144.962154,-37.82167834
The Haunted Bookshop,Newspaper and Book Retailing,144.96167739999999,-37.81546466
Don Buri & BBQ,Takeaway Food Services,144.9697778,-37.81170307
General Practice Registars Australia Ltd,Business and Professional Association Services,144.9566017,-37.81988484
Melbourne Fat & Cellulite Reduction Clinic,Specialist Medical Services,144.9697778,-37.81170307
Vibe Hotel,Accommodation,144.95880400000001,-37.78289944
Gangnam Pocha,Cafes and Restaurants,144.9549294,-37.81372352
Alfred on Collins Medical Consulting Suites,Specialist Medical Services,144.9699104,-37.81401267
Honey Birdette,Women's Clothing Retailing,144.9630189,-37.81073331
Hotham Hill Post & Lotto,Postal Services,144.94140269999997,-37.79501722
Vanishing Elephant,Clothing Retailing,144.9657034,-37.810658000000004
SMA Business Administration Pty Ltd,House Construction,144.95972680000003,-37.82731958
New Aim Pty Ltd,Kitchen and Diningware Wholesaling,144.93014509999998,-37.80098987
Building Engineering Pty Ltd,Non-Residential Building Construction,144.94647849999998,-37.80797984
City Grill Room,Cafes and Restaurants,144.9560169,-37.8134766
O'Neill ,Clothing Retailing,144.9523782,-37.82539976
Resistance Bookshop,Newspaper and Book Retailing,144.96317969999998,-37.80895593
International Security Training Academy,Higher Education,144.9548222,-37.81349786
Quay West Suites Melbourne Mirvac,Accommodation,144.9671147,-37.82038777
ICG Financial Planning,Other Auxiliary Finance and Investment Services,144.9687501,-37.80540754
True Elite Investments Pty Ltd,Accounting Services,144.9602243,-37.81467989
Perumal Pedavoli Architects,Architectural Services,144.9618186,-37.81514598
Pearl News Kiosk ,Newspaper and Book Retailing,144.95683480000002,-37.81767359
vacant,Vacant Space,144.9744557,-37.80901092
vacant,Vacant Space,144.9744557,-37.80901092
In A Rush 150 Collins,Cafes and Restaurants,144.96818100000002,-37.81419714
Samurai Karate,Health and Fitness Centres and Gymnasia Operation,144.9347903,-37.78906253
