Month,Mdate,Time,hourly_counts
April,11,23,853.0
April,12,0,292.0
April,12,1,376.0
April,12,2,203.0
April,12,3,60.0
April,12,4,86.0
April,12,5,76.0
April,12,6,194.0
April,12,7,541.0
April,12,8,1207.0
April,12,9,1316.0
April,12,10,1901.0
April,12,11,2693.0
April,12,12,3759.0
April,12,13,4179.0
April,12,14,3697.0
April,12,15,3553.0
April,12,16,3316.0
April,12,17,3875.0
April,12,18,3470.0
April,12,19,2319.0
April,12,20,1999.0
April,12,21,2038.0
April,12,22,1144.0
April,12,23,995.0
April,13,0,371.0
April,13,1,318.0
April,13,2,120.0
April,13,3,68.0
April,13,4,79.0
April,13,5,86.0
April,13,6,209.0
April,13,7,511.0
April,13,8,1175.0
April,13,9,1333.0
April,13,10,1800.0
April,13,11,2620.0
April,13,12,4073.0
April,13,13,4488.0
April,13,14,3874.0
April,13,15,3572.0
April,13,16,3746.0
April,13,17,4278.0
April,13,18,3997.0
April,13,19,2948.0
April,13,20,2830.0
April,13,21,2672.0
April,13,22,1854.0
April,13,23,1577.0
April,14,0,1029.0
April,14,1,794.0
April,14,2,626.0
April,14,3,586.0
April,14,4,261.0
April,14,5,396.0
April,14,6,158.0
April,14,7,168.0
April,14,8,407.0
April,14,9,850.0
April,14,10,1442.0
April,14,11,1767.0
April,14,12,2163.0
April,14,13,2025.0
April,14,14,2487.0
April,14,15,2776.0
April,14,16,2803.0
April,14,17,2792.0
April,14,18,2399.0
April,14,19,2067.0
April,14,20,2039.0
April,14,21,2210.0
April,14,22,1449.0
April,14,23,1447.0
April,15,0,830.0
April,15,1,784.0
April,15,2,464.0
April,15,3,458.0
April,15,4,226.0
April,15,5,123.0
April,15,6,167.0
April,15,7,197.0
April,15,8,329.0
April,15,9,660.0
April,15,10,1061.0
April,15,11,1712.0
April,15,12,2502.0
April,15,13,2583.0
April,15,14,2850.0
April,15,15,2840.0
April,15,16,2770.0
April,15,17,2468.0
April,15,18,1911.0
April,15,19,1926.0
April,15,20,1782.0
April,15,21,1085.0
April,15,22,799.0
April,15,23,396.0
April,16,0,337.0
April,16,1,524.0
April,16,2,202.0
April,16,3,347.0
April,16,4,132.0
April,16,5,110.0
April,16,6,255.0
April,16,7,576.0
April,16,8,1240.0
April,16,9,1284.0
April,16,10,1688.0
April,16,11,2131.0
April,16,12,3252.0
April,16,13,3377.0
April,16,14,2886.0
April,16,15,3114.0
April,16,16,3089.0
April,16,17,3439.0
April,16,18,2574.0
April,16,19,1690.0
April,16,20,1468.0
April,16,21,873.0
April,16,22,784.0
April,16,23,256.0
April,17,0,93.0
April,17,1,57.0
April,17,2,19.0
