date_time,day,hourly_counts,id,mdate,month,sensor_id,sensor_name,time,year
17/02/2019 20:00,Sunday,787,2566159,17,February,5,Princes Bridge,20,2019
17/02/2019 20:00,Sunday,1296,2566160,17,February,6,Flinders Street Station Underpass,20,2019
17/02/2019 20:00,Sunday,591,2566161,17,February,14,Sandridge Bridge,20,2019
17/02/2019 20:00,Sunday,480,2566162,17,February,26,QV Market-Elizabeth St (West),20,2019
17/02/2019 20:00,Sunday,700,2566163,17,February,24,Spencer St-Collins St (North),20,2019
17/02/2019 20:00,Sunday,220,2566164,17,February,23,Spencer St-Collins St (South),20,2019
17/02/2019 20:00,Sunday,535,2566165,17,February,25,Melbourne Convention Exhibition Centre,20,2019
17/02/2019 20:00,Sunday,823,2566166,17,February,21,Bourke St-Russell St (West),20,2019
17/02/2019 20:00,Sunday,647,2566167,17,February,20,Chinatown-Lt Bourke St (South),20,2019
17/02/2019 20:00,Sunday,1071,2566168,17,February,19,Chinatown-Swanston St (North),20,2019
17/02/2019 20:00,Sunday,2044,2566169,17,February,22,Flinders St-Elizabeth St (East),20,2019
17/02/2019 20:00,Sunday,112,2566170,17,February,27,QV Market-Peel St,20,2019
17/02/2019 20:00,Sunday,823,2566171,17,February,28,The Arts Centre,20,2019
17/02/2019 20:00,Sunday,736,2566172,17,February,31,Lygon St (West),20,2019
17/02/2019 20:00,Sunday,719,2566173,17,February,30,Lonsdale St (South),20,2019
17/02/2019 20:00,Sunday,36,2566174,17,February,33,Flinders St-Spring St (West),20,2019
17/02/2019 20:00,Sunday,98,2566175,17,February,34,Flinders St-Spark La,20,2019
17/02/2019 20:00,Sunday,78,2566176,17,February,39,Alfred Place,20,2019
17/02/2019 20:00,Sunday,285,2566177,17,February,37,Lygon St (East),20,2019
17/02/2019 20:00,Sunday,157,2566178,17,February,40,Lonsdale St-Spring St (West),20,2019
17/02/2019 20:00,Sunday,130,2566179,17,February,36,Queen St (West),20,2019
17/02/2019 20:00,Sunday,1762,2566180,17,February,29,St Kilda Rd-Alexandra Gardens,20,2019
17/02/2019 20:00,Sunday,152,2566181,17,February,42,Grattan St-Swanston St (West),20,2019
17/02/2019 20:00,Sunday,33,2566182,17,February,43,Monash Rd-Swanston St (West),20,2019
17/02/2019 20:00,Sunday,24,2566183,17,February,44,Tin Alley-Swanston St (West),20,2019
17/02/2019 20:00,Sunday,1957,2566184,17,February,35,Southbank,20,2019
17/02/2019 20:00,Sunday,70,2566185,17,February,46,Pelham St (S),20,2019
17/02/2019 20:00,Sunday,842,2566186,17,February,47,Melbourne Central-Elizabeth St (East),20,2019
17/02/2019 20:00,Sunday,151,2566187,17,February,48,QVM-Queen St (East),20,2019
17/02/2019 20:00,Sunday,107,2566188,17,February,49,QVM-Therry St (South),20,2019
17/02/2019 20:00,Sunday,392,2566189,17,February,50,Faraday St-Lygon St (West),20,2019
17/02/2019 20:00,Sunday,147,2566190,17,February,51,QVM-Franklin St (North),20,2019
17/02/2019 20:00,Sunday,357,2566191,17,February,52,Elizabeth St-Lonsdale St (South),20,2019
17/02/2019 20:00,Sunday,88,2566192,17,February,54,Lincoln-Swanston(West),20,2019
17/02/2019 20:00,Sunday,368,2566193,17,February,56,Lonsdale St - Elizabeth St (North),20,2019
17/02/2019 20:00,Sunday,319,2566194,17,February,57,Bourke St Bridge,20,2019
17/02/2019 20:00,Sunday,506,2566195,17,February,58,Bourke St - Spencer St (North),20,2019
17/02/2019 20:00,Sunday,565,2566196,17,February,59,Swanston St - RMIT Building 80,20,2019
17/02/2019 21:00,Sunday,1026,2566197,17,February,4,Town Hall (West),21,2019
17/02/2019 21:00,Sunday,135,2566198,17,February,17,Collins Place (South),21,2019
17/02/2019 21:00,Sunday,54,2566199,17,February,18,Collins Place (North),21,2019
17/02/2019 21:00,Sunday,225,2566200,17,February,53,Collins St (North),21,2019
17/02/2019 21:00,Sunday,295,2566201,17,February,2,Bourke Street Mall (South),21,2019
17/02/2019 21:00,Sunday,516,2566202,17,February,1,Bourke Street Mall (North),21,2019
17/02/2019 21:00,Sunday,737,2566203,17,February,15,State Library,21,2019
17/02/2019 21:00,Sunday,103,2566204,17,February,9,Southern Cross Station,21,2019
17/02/2019 21:00,Sunday,64,2566205,17,February,10,Victoria Point,21,2019
17/02/2019 21:00,Sunday,568,2566206,17,February,12,New Quay,21,2019
17/02/2019 21:00,Sunday,301,2566207,17,February,11,Waterfront City,21,2019
17/02/2019 21:00,Sunday,102,2566208,17,February,8,Webb Bridge,21,2019
17/02/2019 21:00,Sunday,636,2566209,17,February,5,Princes Bridge,21,2019
17/02/2019 21:00,Sunday,1324,2566210,17,February,6,Flinders Street Station Underpass,21,2019
17/02/2019 21:00,Sunday,484,2566211,17,February,14,Sandridge Bridge,21,2019
17/02/2019 21:00,Sunday,390,2566212,17,February,26,QV Market-Elizabeth St (West),21,2019
17/02/2019 21:00,Sunday,632,2566213,17,February,24,Spencer St-Collins St (North),21,2019
17/02/2019 21:00,Sunday,162,2566214,17,February,23,Spencer St-Collins St (South),21,2019
17/02/2019 21:00,Sunday,401,2566215,17,February,25,Melbourne Convention Exhibition Centre,21,2019
17/02/2019 21:00,Sunday,720,2566216,17,February,21,Bourke St-Russell St (West),21,2019
17/02/2019 21:00,Sunday,558,2566217,17,February,20,Chinatown-Lt Bourke St (South),21,2019
17/02/2019 21:00,Sunday,821,2566218,17,February,19,Chinatown-Swanston St (North),21,2019
17/02/2019 21:00,Sunday,1779,2566219,17,February,22,Flinders St-Elizabeth St (East),21,2019
17/02/2019 21:00,Sunday,80,2566220,17,February,27,QV Market-Peel St,21,2019
17/02/2019 21:00,Sunday,626,2566221,17,February,28,The Arts Centre,21,2019
17/02/2019 21:00,Sunday,635,2566222,17,February,31,Lygon St (West),21,2019
17/02/2019 21:00,Sunday,571,2566223,17,February,30,Lonsdale St (South),21,2019
17/02/2019 21:00,Sunday,37,2566224,17,February,33,Flinders St-Spring St (West),21,2019
17/02/2019 21:00,Sunday,57,2566225,17,February,34,Flinders St-Spark La,21,2019
17/02/2019 21:00,Sunday,70,2566226,17,February,39,Alfred Place,21,2019
17/02/2019 21:00,Sunday,234,2566227,17,February,37,Lygon St (East),21,2019
17/02/2019 21:00,Sunday,117,2566228,17,February,40,Lonsdale St-Spring St (West),21,2019
17/02/2019 21:00,Sunday,145,2566229,17,February,36,Queen St (West),21,2019
17/02/2019 21:00,Sunday,1370,2566230,17,February,29,St Kilda Rd-Alexandra Gardens,21,2019
17/02/2019 21:00,Sunday,116,2566231,17,February,42,Grattan St-Swanston St (West),21,2019
17/02/2019 21:00,Sunday,15,2566232,17,February,43,Monash Rd-Swanston St (West),21,2019
17/02/2019 21:00,Sunday,66,2566233,17,February,44,Tin Alley-Swanston St (West),21,2019
17/02/2019 21:00,Sunday,1692,2566234,17,February,35,Southbank,21,2019
17/02/2019 21:00,Sunday,39,2566235,17,February,46,Pelham St (S),21,2019
17/02/2019 21:00,Sunday,693,2566236,17,February,47,Melbourne Central-Elizabeth St (East),21,2019
17/02/2019 21:00,Sunday,102,2566237,17,February,48,QVM-Queen St (East),21,2019
17/02/2019 21:00,Sunday,92,2566238,17,February,49,QVM-Therry St (South),21,2019
17/02/2019 21:00,Sunday,318,2566239,17,February,50,Faraday St-Lygon St (West),21,2019
17/02/2019 21:00,Sunday,155,2566240,17,February,51,QVM-Franklin St (North),21,2019
17/02/2019 21:00,Sunday,310,2566241,17,February,52,Elizabeth St-Lonsdale St (South),21,2019
17/02/2019 21:00,Sunday,107,2566242,17,February,54,Lincoln-Swanston(West),21,2019
17/02/2019 21:00,Sunday,241,2566243,17,February,56,Lonsdale St - Elizabeth St (North),21,2019
17/02/2019 21:00,Sunday,169,2566244,17,February,57,Bourke St Bridge,21,2019
17/02/2019 21:00,Sunday,442,2566245,17,February,58,Bourke St - Spencer St (North),21,2019
17/02/2019 21:00,Sunday,457,2566246,17,February,59,Swanston St - RMIT Building 80,21,2019
17/02/2019 22:00,Sunday,693,2566247,17,February,4,Town Hall (West),22,2019
17/02/2019 22:00,Sunday,91,2566248,17,February,17,Collins Place (South),22,2019
17/02/2019 22:00,Sunday,51,2566249,17,February,18,Collins Place (North),22,2019
17/02/2019 22:00,Sunday,130,2566250,17,February,53,Collins St (North),22,2019
17/02/2019 22:00,Sunday,186,2566251,17,February,2,Bourke Street Mall (South),22,2019
17/02/2019 22:00,Sunday,388,2566252,17,February,1,Bourke Street Mall (North),22,2019
17/02/2019 22:00,Sunday,463,2566253,17,February,15,State Library,22,2019
17/02/2019 22:00,Sunday,66,2566254,17,February,9,Southern Cross Station,22,2019
17/02/2019 22:00,Sunday,48,2566255,17,February,10,Victoria Point,22,2019
17/02/2019 22:00,Sunday,287,2566256,17,February,12,New Quay,22,2019
17/02/2019 22:00,Sunday,149,2566257,17,February,11,Waterfront City,22,2019
17/02/2019 22:00,Sunday,75,2566258,17,February,8,Webb Bridge,22,2019
17/02/2019 22:00,Sunday,493,2566259,17,February,5,Princes Bridge,22,2019
17/02/2019 22:00,Sunday,939,2566260,17,February,6,Flinders Street Station Underpass,22,2019
17/02/2019 22:00,Sunday,307,2566261,17,February,14,Sandridge Bridge,22,2019
17/02/2019 22:00,Sunday,290,2566262,17,February,26,QV Market-Elizabeth St (West),22,2019
17/02/2019 22:00,Sunday,399,2566263,17,February,24,Spencer St-Collins St (North),22,2019
17/02/2019 22:00,Sunday,106,2566264,17,February,23,Spencer St-Collins St (South),22,2019
17/02/2019 22:00,Sunday,255,2566265,17,February,25,Melbourne Convention Exhibition Centre,22,2019
17/02/2019 22:00,Sunday,557,2566266,17,February,21,Bourke St-Russell St (West),22,2019
17/02/2019 22:00,Sunday,326,2566267,17,February,20,Chinatown-Lt Bourke St (South),22,2019
18/02/2019 4:00,Monday,12,2566553,18,February,15,State Library,4,2019
17/02/2019 22:00,Sunday,495,2566268,17,February,19,Chinatown-Swanston St (North),22,2019
17/02/2019 22:00,Sunday,1524,2566269,17,February,22,Flinders St-Elizabeth St (East),22,2019
17/02/2019 22:00,Sunday,49,2566270,17,February,27,QV Market-Peel St,22,2019
17/02/2019 22:00,Sunday,1227,2566271,17,February,28,The Arts Centre,22,2019
17/02/2019 22:00,Sunday,301,2566272,17,February,31,Lygon St (West),22,2019
17/02/2019 22:00,Sunday,442,2566273,17,February,30,Lonsdale St (South),22,2019
17/02/2019 22:00,Sunday,66,2566274,17,February,33,Flinders St-Spring St (West),22,2019
17/02/2019 22:00,Sunday,77,2566275,17,February,34,Flinders St-Spark La,22,2019
17/02/2019 22:00,Sunday,48,2566276,17,February,39,Alfred Place,22,2019
17/02/2019 22:00,Sunday,136,2566277,17,February,37,Lygon St (East),22,2019
17/02/2019 22:00,Sunday,374,2566278,17,February,40,Lonsdale St-Spring St (West),22,2019
17/02/2019 22:00,Sunday,87,2566279,17,February,36,Queen St (West),22,2019
17/02/2019 22:00,Sunday,1415,2566280,17,February,29,St Kilda Rd-Alexandra Gardens,22,2019
17/02/2019 22:00,Sunday,75,2566281,17,February,42,Grattan St-Swanston St (West),22,2019
17/02/2019 22:00,Sunday,19,2566282,17,February,43,Monash Rd-Swanston St (West),22,2019
17/02/2019 22:00,Sunday,24,2566283,17,February,44,Tin Alley-Swanston St (West),22,2019
17/02/2019 22:00,Sunday,1034,2566284,17,February,35,Southbank,22,2019
17/02/2019 22:00,Sunday,25,2566285,17,February,46,Pelham St (S),22,2019
17/02/2019 22:00,Sunday,470,2566286,17,February,47,Melbourne Central-Elizabeth St (East),22,2019
