date_time,hourly_counts,sensor_id,latitude,longitude
06/04/2019 18:00,0,1,-37.8134944,144.9651532
06/04/2019 19:00,255.48312,1,-37.8134944,144.9651532
06/04/2019 20:00,650.5754,1,-37.8134944,144.9651532
06/04/2019 21:00,1114.2754,1,-37.8134944,144.9651532
06/04/2019 22:00,1615.797,1,-37.8134944,144.9651532
06/04/2019 23:00,2117.0889,1,-37.8134944,144.9651532
07/04/2019 00:00,2578.541,1,-37.8134944,144.9651532
07/04/2019 01:00,2960.1824,1,-37.8134944,144.9651532
07/04/2019 02:00,3229.7053,1,-37.8134944,144.9651532
07/04/2019 03:00,3369.9229,1,-37.8134944,144.9651532
07/04/2019 03:59,3394.3376,1,-37.8134944,144.9651532
07/04/2019 04:59,3327.4438,1,-37.8134944,144.9651532
07/04/2019 05:59,3174.0137,1,-37.8134944,144.9651532
07/04/2019 06:59,2928.5127,1,-37.8134944,144.9651532
07/04/2019 07:59,2594.2773,1,-37.8134944,144.9651532
07/04/2019 08:59,2192.6252,1,-37.8134944,144.9651532
07/04/2019 09:59,1735.1499,1,-37.8134944,144.9651532
07/04/2019 10:59,1240.6815,1,-37.8134944,144.9651532
07/04/2019 11:59,742.5382,1,-37.8134944,144.9651532
07/04/2019 12:59,286.35516,1,-37.8134944,144.9651532
07/04/2019 13:59,0,1,-37.8134944,144.9651532
07/04/2019 14:59,0,1,-37.8134944,144.9651532
07/04/2019 15:59,0,1,-37.8134944,144.9651532
07/04/2019 16:59,0,1,-37.8134944,144.9651532
07/04/2019 17:59,0,1,-37.8134944,144.9651532
07/04/2019 18:59,144.39777,1,-37.8134944,144.9651532
07/04/2019 19:59,563.2492,1,-37.8134944,144.9651532
07/04/2019 20:59,1059.1212,1,-37.8134944,144.9651532
07/04/2019 21:59,1596.0074,1,-37.8134944,144.9651532
07/04/2019 22:59,2127.9607,1,-37.8134944,144.9651532
07/04/2019 23:59,2603.737,1,-37.8134944,144.9651532
08/04/2019 00:59,2977.5957,1,-37.8134944,144.9651532
08/04/2019 01:59,3221.4058,1,-37.8134944,144.9651532
08/04/2019 02:59,3331.9558,1,-37.8134944,144.9651532
08/04/2019 03:59,3326.1804,1,-37.8134944,144.9651532
08/04/2019 04:59,3226.992,1,-37.8134944,144.9651532
08/04/2019 05:59,3057.7722,1,-37.8134944,144.9651532
08/04/2019 06:59,2837.3765,1,-37.8134944,144.9651532
08/04/2019 07:59,2571.2244,1,-37.8134944,144.9651532
08/04/2019 08:59,2249.8394,1,-37.8134944,144.9651532
08/04/2019 09:59,1860.9209,1,-37.8134944,144.9651532
08/04/2019 10:59,1410.3088,1,-37.8134944,144.9651532
08/04/2019 11:59,915.04913,1,-37.8134944,144.9651532
08/04/2019 12:59,423.33243,1,-37.8134944,144.9651532
08/04/2019 13:59,0,1,-37.8134944,144.9651532
08/04/2019 14:59,0,1,-37.8134944,144.9651532
08/04/2019 15:59,0,1,-37.8134944,144.9651532
08/04/2019 16:59,0,1,-37.8134944,144.9651532
08/04/2019 17:59,0,1,-37.8134944,144.9651532
08/04/2019 18:59,15.661941,1,-37.8134944,144.9651532
08/04/2019 19:59,435.82364,1,-37.8134944,144.9651532
08/04/2019 20:59,946.6534,1,-37.8134944,144.9651532
08/04/2019 21:59,1509.8395,1,-37.8134944,144.9651532
08/04/2019 22:59,2075.113,1,-37.8134944,144.9651532
08/04/2019 23:59,2584.8293,1,-37.8134944,144.9651532
09/04/2019 00:59,2986.8916,1,-37.8134944,144.9651532
09/04/2019 01:59,3248.8994,1,-37.8134944,144.9651532
09/04/2019 02:59,3363.9397,1,-37.8134944,144.9651532
09/04/2019 03:59,3351.284,1,-37.8134944,144.9651532
09/04/2019 04:59,3236.4282,1,-37.8134944,144.9651532
09/04/2019 05:59,3043.4873,1,-37.8134944,144.9651532
09/04/2019 06:59,2781.644,1,-37.8134944,144.9651532
09/04/2019 07:59,2455.7422,1,-37.8134944,144.9651532
09/04/2019 08:59,2067.4094,1,-37.8134944,144.9651532
09/04/2019 09:59,1619.4487,1,-37.8134944,144.9651532
09/04/2019 10:59,1125.9285,1,-37.8134944,144.9651532
09/04/2019 11:59,622.397,1,-37.8134944,144.9651532
09/04/2019 12:59,164.27917,1,-37.8134944,144.9651532
09/04/2019 13:59,0,1,-37.8134944,144.9651532
09/04/2019 14:59,0,1,-37.8134944,144.9651532
09/04/2019 15:59,0,1,-37.8134944,144.9651532
09/04/2019 16:59,0,1,-37.8134944,144.9651532
09/04/2019 17:59,0,1,-37.8134944,144.9651532
09/04/2019 18:59,166.77911,1,-37.8134944,144.9651532
09/04/2019 19:59,548.9768,1,-37.8134944,144.9651532
09/04/2019 20:59,987.2254,1,-37.8134944,144.9651532
09/04/2019 21:59,1459.8353,1,-37.8134944,144.9651532
09/04/2019 22:59,1941.9705,1,-37.8134944,144.9651532
09/04/2019 23:59,2404.2456,1,-37.8134944,144.9651532
10/04/2019 00:59,2813.2148,1,-37.8134944,144.9651532
10/04/2019 01:59,3135.3274,1,-37.8134944,144.9651532
10/04/2019 02:59,3341.4172,1,-37.8134944,144.9651532
10/04/2019 03:59,3411.291,1,-37.8134944,144.9651532
10/04/2019 04:59,3337.53,1,-37.8134944,144.9651532
10/04/2019 05:59,3128.0498,1,-37.8134944,144.9651532
10/04/2019 06:59,2803.0525,1,-37.8134944,144.9651532
10/04/2019 07:59,2388.4395,1,-37.8134944,144.9651532
10/04/2019 08:59,1913.3674,1,-37.8134944,144.9651532
10/04/2019 09:59,1412.7245,1,-37.8134944,144.9651532
10/04/2019 10:59,926.1972,1,-37.8134944,144.9651532
10/04/2019 11:59,492.23843,1,-37.8134944,144.9651532
10/04/2019 12:59,140.55762,1,-37.8134944,144.9651532
10/04/2019 13:59,0,1,-37.8134944,144.9651532
10/04/2019 14:59,0,1,-37.8134944,144.9651532
10/04/2019 15:59,0,1,-37.8134944,144.9651532
10/04/2019 16:59,0,1,-37.8134944,144.9651532
10/04/2019 17:59,0,1,-37.8134944,144.9651532
10/04/2019 18:59,220.62263,1,-37.8134944,144.9651532
10/04/2019 19:59,551.12897,1,-37.8134944,144.9651532
10/04/2019 20:59,940.60645,1,-37.8134944,144.9651532
10/04/2019 21:59,1371.1538,1,-37.8134944,144.9651532
10/04/2019 22:59,1819.9548,1,-37.8134944,144.9651532
10/04/2019 23:59,2258.0571,1,-37.8134944,144.9651532
11/04/2019 00:59,2651.328,1,-37.8134944,144.9651532
11/04/2019 01:59,2965.3848,1,-37.8134944,144.9651532
11/04/2019 02:59,3170.1855,1,-37.8134944,144.9651532
11/04/2019 03:59,3245.401,1,-37.8134944,144.9651532
11/04/2019 04:59,3183.4504,1,-37.8134944,144.9651532
11/04/2019 05:59,2993.2798,1,-37.8134944,144.9651532
11/04/2019 06:59,2697.8997,1,-37.8134944,144.9651532
11/04/2019 07:59,2326.0413,1,-37.8134944,144.9651532
11/04/2019 08:59,1907.2994,1,-37.8134944,144.9651532
11/04/2019 09:59,1470.6854,1,-37.8134944,144.9651532
11/04/2019 10:59,1046.1431,1,-37.8134944,144.9651532
11/04/2019 11:59,660.7904,1,-37.8134944,144.9651532
11/04/2019 12:59,335.09045,1,-37.8134944,144.9651532
11/04/2019 13:59,83.27572,1,-37.8134944,144.9651532
11/04/2019 14:59,0,1,-37.8134944,144.9651532
11/04/2019 15:59,0,1,-37.8134944,144.9651532
11/04/2019 16:59,0,1,-37.8134944,144.9651532
11/04/2019 17:59,0,1,-37.8134944,144.9651532
11/04/2019 18:59,148.95001,1,-37.8134944,144.9651532
11/04/2019 19:59,421.73346,1,-37.8134944,144.9651532
11/04/2019 20:59,765.1983,1,-37.8134944,144.9651532
11/04/2019 21:59,1166.2607,1,-37.8134944,144.9651532
11/04/2019 22:59,1606.6476,1,-37.8134944,144.9651532
11/04/2019 23:59,2060.839,1,-37.8134944,144.9651532
12/04/2019 00:59,2495.39,1,-37.8134944,144.9651532
12/04/2019 01:59,2872.1965,1,-37.8134944,144.9651532
12/04/2019 02:59,3153.481,1,-37.8134944,144.9651532
12/04/2019 03:59,3309.3884,1,-37.8134944,144.9651532
12/04/2019 04:59,3323.624,1,-37.8134944,144.9651532
12/04/2019 05:59,3198.056,1,-37.8134944,144.9651532
12/04/2019 06:59,2949.9854,1,-37.8134944,144.9651532
12/04/2019 07:59,2604.2905,1,-37.8134944,144.9651532
12/04/2019 08:59,2188.4756,1,-37.8134944,144.9651532
12/04/2019 09:59,1732.1562,1,-37.8134944,144.9651532
12/04/2019 10:59,1268.2483,1,-37.8134944,144.9651532
12/04/2019 11:59,829.3512,1,-37.8134944,144.9651532
12/04/2019 12:59,442.90497,1,-37.8134944,144.9651532
12/04/2019 13:59,130.47171,1,-37.8134944,144.9651532
