Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Dwelling type,Dwelling number,x coordinate,y coordinate,Location
2017,303,102880,102880,502 Dryburgh Street,North Melbourne,House/Townhouse,1,144.9456178,-37.7930153,"(-37.7930153, 144.9456178)"
2017,527,559401,559401,11 Lincoln Mews,Kensington,House/Townhouse,1,144.922572,-37.79653172,"(-37.79653172, 144.922572)"
2017,2523,614848,614848,11 Wight Street,Kensington,House/Townhouse,1,144.9285029,-37.79376053,"(-37.79376053, 144.9285029)"
2017,207,101678,101678,280-284 Cardigan Street,Carlton,Residential Apartments,9,144.966143,-37.79819321,"(-37.79819321, 144.966143)"
2017,538,556177,556177,9-13 Goldsbrough Walk,Kensington,House/Townhouse,3,144.9189291,-37.79674528,"(-37.79674528, 144.9189291)"
2017,2513,615630,615630,66 Epsom Road,Kensington,House/Townhouse,1,144.9254068,-37.79137925,"(-37.79137925, 144.9254068)"
2017,204,109359,109359,768-804 Swanston Street,Carlton,Student Apartments,553,144.965164,-37.79780844,"(-37.79780844, 144.965164)"
2017,246,100573,100573,22 Argyle Place North,Carlton,House/Townhouse,1,144.9658974,-37.80176875,"(-37.80176875, 144.9658974)"
2017,214,111208,111207,47-51 Little Palmerston Street,Carlton,House/Townhouse,1,144.9685851,-37.79681948,"(-37.79681948, 144.9685851)"
2017,526,108302,108302,57 The Ridgeway,Kensington,House/Townhouse,1,144.9248366,-37.79507222,"(-37.79507222, 144.9248366)"
2017,732,110468,110468,58 Clarke Street,Southbank,Residential Apartments,147,144.9593368,-37.82786328,"(-37.82786328, 144.9593368)"
2017,51,105301,105301,175-177 King Street,Melbourne (CBD),Residential Apartments,1,144.9552322,-37.81602499,"(-37.81602499, 144.9552322)"
2017,222,106264,106264,55 MacArthur Place South,Carlton,House/Townhouse,1,144.9709626,-37.79865451,"(-37.79865451, 144.9709626)"
2017,540,592069,592069,47 Bateman Road,Kensington,House/Townhouse,1,144.918054,-37.79581484,"(-37.79581484, 144.918054)"
2017,527,559393,559393,8 Lincoln Mews,Kensington,House/Townhouse,1,144.9221704,-37.79679413,"(-37.79679413, 144.9221704)"
2017,857,100277,100277,56-60 Airlie Street,South Yarra,House/Townhouse,1,144.9872708,-37.83153099,"(-37.83153099, 144.9872708)"
2017,344,102339,102339,41 Curzon Street,North Melbourne,House/Townhouse,1,144.9475516,-37.80412899,"(-37.80412899, 144.9475516)"
2017,306,102849,102849,431 Dryburgh Street,North Melbourne,House/Townhouse,1,144.9445957,-37.79520061,"(-37.79520061, 144.9445957)"
