Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Parking type,Parking spaces,x coordinate,y coordinate,Location
2017,773,627718,627718,35 South Wharf Drive,Docklands,Residential,2,144.9392088,-37.82298106,"(-37.82298106, 144.9392088)"
2017,517,109457,109457,84-86 Tennyson Street,Kensington,Residential,1,144.9282104,-37.79878033,"(-37.79878033, 144.9282104)"
2017,613,593695,109643,158 Albert Street,East Melbourne,Commercial,60,144.9856254,-37.81004657,"(-37.81004657, 144.9856254)"
2017,551,107567,107567,26 Peppercorn Walk,Kensington,Residential,1,144.9222962,-37.79233528,"(-37.79233528, 144.9222962)"
2017,545,110058,110058,77 Westbourne Road,Kensington,Residential,1,144.9212091,-37.79384193,"(-37.79384193, 144.9212091)"
2017,520,580221,580221,59-63 Kensington Road,Kensington,Residential,10,144.925377,-37.79572556,"(-37.79572556, 144.925377)"
2017,562,106847,106847,28 Musgrove Mews,Kensington,Residential,2,144.9203065,-37.79142047,"(-37.79142047, 144.9203065)"
2017,529,560413,560413,18 Anderson Walk,Kensington,Residential,2,144.9203719,-37.79686975,"(-37.79686975, 144.9203719)"
2017,610,104349,104349,90 Gipps Street,East Melbourne,Residential,2,144.9865903,-37.8127918,"(-37.8127918, 144.9865903)"
2017,341,105767,105767,29 Lothian Street,North Melbourne,Residential,1,144.9441491,-37.80336212,"(-37.80336212, 144.9441491)"
2017,646,105429,105429,15-17 Lansdowne Street,East Melbourne,Private,10,144.9780295,-37.80928541,"(-37.80928541, 144.9780295)"
2017,227,576968,576968,110-116 Kay Street,Carlton,Residential,5,144.9713974,-37.79474686,"(-37.79474686, 144.9713974)"
2017,568,104225,104225,40 Gilbertson Walk,Kensington,Residential,1,144.9216466,-37.79123464,"(-37.79123464, 144.9216466)"
2017,860,105562,105562,93-95 Leopold Street,South Yarra,Residential,2,144.9828838,-37.83554885,"(-37.83554885, 144.9828838)"
2017,552,102276,102276,18 Graham Street,Kensington,Residential,1,144.9217678,-37.79285744,"(-37.79285744, 144.9217678)"
2017,552,110300,110300,13 McTaggart Street,Kensington,Residential,2,144.9221279,-37.79267784,"(-37.79267784, 144.9221279)"
2017,211,106169,106169,459 Lygon Street,Carlton,Private,83,144.9675612,-37.79330572,"(-37.79330572, 144.9675612)"
2017,555,559227,559227,40 Bateman Road,Kensington,Residential,1,144.9179742,-37.79528744,"(-37.79528744, 144.9179742)"
