,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Latitude,Longitude
851,2015,65,105698,105698,269-321 Lonsdale Street,Melbourne (CBD),1000 Wat,4511,Cafes and Restaurants,Seats - Indoor,59,-37.81245199, 144.9638386
852,2015,65,105698,105698,269-321 Lonsdale Street,Melbourne (CBD),Dumplings Plus,4511,Cafes and Restaurants,Seats - Indoor,60,-37.81245199, 144.9638386
853,2015,65,105698,105698,269-321 Lonsdale Street,Melbourne (CBD),Waffee,4511,Cafes and Restaurants,Seats - Indoor,22,-37.81245199, 144.9638386
854,2015,65,105698,105698,269-321 Lonsdale Street,Melbourne (CBD),Pho Nom,4511,Cafes and Restaurants,Seats - Indoor,38,-37.81245199, 144.9638386
855,2015,65,105698,105698,269-321 Lonsdale Street,Melbourne (CBD),Becasse Bakery,4511,Cafes and Restaurants,Seats - Indoor,66,-37.81245199, 144.9638386
856,2015,65,105698,105698,269-321 Lonsdale Street,Melbourne (CBD),The Tea Salon,4511,Cafes and Restaurants,Seats - Indoor,82,-37.81245199, 144.9638386
857,2015,65,105698,105698,269-321 Lonsdale Street,Melbourne (CBD),Nabe One,4511,Cafes and Restaurants,Seats - Indoor,10,-37.81245199, 144.9638386
858,2015,65,105698,105698,269-321 Lonsdale Street,Melbourne (CBD),Jones the Grocer,4511,Cafes and Restaurants,Seats - Indoor,140,-37.81245199, 144.9638386
859,2015,65,105698,105698,269-321 Lonsdale Street,Melbourne (CBD),Spudbar,4511,Cafes and Restaurants,Seats - Indoor,16,-37.81245199, 144.9638386
860,2015,65,105698,105698,269-321 Lonsdale Street,Melbourne (CBD),New Shanghai,4511,Cafes and Restaurants,Seats - Indoor,140,-37.81245199, 144.9638386
861,2015,65,105698,105698,269-321 Lonsdale Street,Melbourne (CBD),Sushi Sushi,4511,Cafes and Restaurants,Seats - Indoor,32,-37.81245199, 144.9638386
