MeterId,AssetId,Barcode,CreditCard,TapAndGo,MeterType,StreetName,Longitude,Latitude,Location
642A,1647326,MPM1647326,YES,YES,Cale CWT-C Touch,Little Bourke Street,144.97061900696323,-37.81099033742911,"(-37.810990337429, 144.970619006963)"
660A,1647587,MPM1647587,YES,YES,Cale CWT-C Touch,Little Lonsdale Street,144.96528735997242,-37.810322215600394,"(-37.8103222156, 144.965287359972)"
660B,1647588,MPM1647588,YES,YES,Cale CWT-C Touch,Little Lonsdale Street,144.96631247868132,-37.810012455185124,"(-37.810012455185, 144.966312478681)"
522B,1647336,MPM1647336,YES,YES,Cale CWT-C Touch,Russell Street,144.96676002685183,-37.810203789662964,"(-37.810203789663, 144.966760026852)"
514A,1647589,MPM1647589,YES,YES,Cale CWT-C Touch,Exhibition Street,144.96880471198793,-37.80855953559227,"(-37.808559535592, 144.968804711988)"
ZOOT12,1629635,MPM1629635,YES,YES,Cale CWT-C,Poplar Road,144.95481094658047,-37.783342411171006,"(-37.783342411171, 144.95481094658)"
514B,1647341,MPM1647341,YES,YES,Cale CWT-C Touch,Exhibition Street,144.96915141062826,-37.808676450391204,"(-37.808676450391, 144.969151410628)"
546A,1647571,MPM1647571,YES,YES,Cale CWT-C Touch,Queen Street,144.95929406438736,-37.81159671412509,"(-37.811596714125, 144.959294064387)"
546B,1647572,MPM1647572,YES,YES,Cale CWT-C Touch,Queen Street,144.95903343286713,-37.8116758349979,"(-37.811675834998, 144.959033432867)"
101TC,1630359,MPM1630359,YES,YES,Reino TTX,Princes Park Drive,144.96189426516412,-37.7897475341734,"(-37.789747534173, 144.961894265164)"
ZOOT13,1630436,MPM1630436,YES,YES,Cale CWT-C,Poplar Road,144.95542133082964,-37.783838473673,"(-37.783838473673, 144.95542133083)"
547A,1647575,MPM1647575,YES,YES,Cale CWT-C Touch,Queen Street,144.95853092697752,-37.810565409783784,"(-37.810565409784, 144.958530926978)"
547B,1647576,MPM1647576,YES,YES,Cale CWT-C Touch,Queen Street,144.95878054929486,-37.810473879186176,"(-37.810473879186, 144.958780549295)"
654A,1647595,MPM1647595,YES,YES,Cale CWT-C Touch,Lonsdale Street,144.96027573682204,-37.812745338515064,"(-37.812745338515, 144.960275736822)"
654B,1647596,MPM1647596,YES,YES,Cale CWT-C Touch,Lonsdale Street,144.96091119329245,-37.812790823544404,"(-37.812790823544, 144.960911193292)"
654C,1647597,MPM1647597,YES,YES,Cale CWT-C Touch,Lonsdale Street,144.96158439568086,-37.81236391337735,"(-37.812363913377, 144.961584395681)"
213TB,1630235,MPM1630235,YES,NO,Reino TX-P,St Kilda Road,144.9805342016259,-37.84912458550654,"(-37.849124585507, 144.980534201626)"
