Street address,Trading name,Number of seats,Longitude,Latitude,Type
43 Little Bourke Street,Punch Lane Wine Bar/Restaurant,14,144.971363,-37.81092017,Cafe
308-336 Collins Street,Cafenatics Equitable Place,11,144.9633433,-37.81611256,Cafe
8 Errol Street,Cafe Sabor,12,144.949581,-37.80489366,Cafe
425-427 Little Collins Street,Thailander,50,144.9605354,-37.8162542,Cafe
19-21 Lonsdale Street,Lonsdale Coffee Delight,6,144.9715313,-37.80981882,Cafe
194-206 Harbour Esplanade,Cafe 198,12,144.9449612,-37.81396231,Cafe
990 La Trobe Street,O-Bento,16,144.9467679,-37.81384049,Cafe
546-566 Collins Street,Don Don Japanese Restaurant,30,144.9558446,-37.81824465,Cafe
222-244 Bourke Street,Spicy Fish Restaurant,80,144.9662952,-37.81272047,Cafe
613-639 Little Collins Street,In Zone Cafe,4,144.9543659,-37.81818484,Cafe
333-335 La Trobe Street,Kanda Sushi Noodle Bar,20,144.9596443,-37.81107017,Cafe
519-539 St Kilda Road,Beluga At Chevron ,48,144.9798191,-37.8455379,Cafe
369-371 Little Bourke Street,Grill'd Healthy Burgers,90,144.9617817,-37.81367176,Cafe
409-413 St Kilda Road,Cafe 409,32,144.9767624,-37.8373358,Cafe
11 Nicholson Street,The Museum Cafe,200,144.9716355,-37.80401886,Cafe
25-77 Stubbs Street,Cheeky Brothers,21,144.9358418,-37.7914562,Cafe
499-511 Swanston Street,Podium,57,144.9618657,-37.80689662,Cafe
106-120 Collins Street,Elements Catering (Kiosk),82,144.9693797,-37.81398457,Cafe
23-37 Star Crescent,Gold Leaf Harbour View Restaurant Pty Ltd,260,144.9378299,-37.81315031,Cafe
816-828 Bourke Street,Southern China Style Cuisine,44,144.943969,-37.81927362,Cafe
348-358 La Trobe Street,The Basement Cafe,6,144.9592776,-37.81067976,Cafe
432-446 Docklands Drive,Sakura Sushi Bar,8,144.9378299,-37.81315031,Cafe
170 Bellair Street,Pimm Thai Cafe,14,144.9299154,-37.79353782,Cafe
535 Little Lonsdale Street,City Grill Room,102,144.9560169,-37.8134766,Cafe
494-512 Bourke Street,Paco's Tacos,80,144.9587607,-37.81494883,Cafe
106 Lygon Street,Saigon Pho Carlton,35,144.9666993,-37.80443778,Cafe
85-161 Spencer Street,In A Rush Espresso,40,144.9523393,-37.81815358,Cafe
661-667 Spencer Street,Tong Fu Garden Melbourne,60,144.9444471,-37.80624547,Cafe
123 Swanston Street,Crossways Food For Life,100,144.9658852,-37.81482941,Cafe
63-65 City Road,The Beggar's Bowl,25,144.9658443,-37.82222503,Cafe
7-9 Waratah Place,Manchuria,45,144.9669911,-37.81162502,Cafe
410-420 La Trobe Street,Cafenatics,38,144.957114,-37.81123723,Cafe
747-757 Bourke Street,Dome Bakery Cafe,43,144.9479753,-37.81925128,Cafe
22-40 Lincoln Square North,Bouverie Deli,8,144.9627288,-37.8013409,Cafe
318 William Street,The Mint Bar & Restaurant,100,144.9573609,-37.81209045,Cafe
497-513 Rathdowne Street,Providence Cafe & Eatery,48,144.9706731,-37.79365073,Cafe
235-251 Bourke Street,Salero Kito Padang Melbourne,25,144.9665978,-37.81376503,Cafe
121 Exhibition Street,Mad Mex,40,144.9701092,-37.81281453,Cafe
430-442 Collins Street,The Mug House,20,144.9597623,-37.81703239,Cafe
280-292 Collins Street,Hopetoun Tea Rooms,52,144.9645574,-37.81567229,Cafe
116-118 Errol Street,5 Lire,4,144.9500956,-37.802235,Cafe
181-183 Russell Street,Wonton House,80,144.967512,-37.81222178,Cafe
11-25 Crossley Street,Becco,100,144.9710142,-37.81143018,Cafe
555 Bourke Street,Pok Pok Junior,40,144.9578132,-37.81636534,Cafe
131-141 Harbour Esplanade,Hortus x Seven Seeds,10,144.9452948,-37.81711584,Cafe
251-257 Cardigan Street,Rakuzen Simple Japanese ,12,144.9651037,-37.80077102,Cafe
2 Swanston Street,Time Out Cafe,140,144.9699175,-37.81784465,Cafe
246-252 Lygon Street,Villa Romana,60,144.9673242,-37.80137656,Cafe
256-268 Flinders Street,Grill'd ,10,144.9656264,-37.81760781,Cafe
183-265 La Trobe Street,Spiga,48,144.9630189,-37.81073331,Cafe
731-735 Bourke Street,Platform 28,370,144.9498213,-37.81921015,Cafe
318-322 Little Collins Street,Gourmet Curry Hut,22,144.9640121,-37.81488174,Cafe
515 Little Bourke Street,Bourke and Willis,40,144.9573923,-37.81531863,Cafe
314-336 Bourke Street,The Salon By Louis Roderer,54,144.9638295,-37.81344503,Cafe
162 Albert Street,Grocery Bar East Melbourne,46,144.9856254,-37.81004657,Cafe
1 Phillip Court,Degani Bakery Cafe,40,144.920988,-37.82600955,Cafe
324-326 King Street,Cafe Sonex ,42,144.9542745,-37.81261513,Cafe
55 Flinders Lane,Tom Thumb Espresso,20,144.9728353,-37.8148555,Cafe
181 William Street,Rock the Wok,18,144.9573923,-37.81531863,Cafe
23-99 Commercial Road,My Serendipity Cafe,12,144.982664,-37.84633593,Cafe
335-349 Little Collins Street,Twee's Hut Vietnamese Favourites,22,144.9632938,-37.81554941,Cafe
45 Newquay Promenade,Berth Restaurant,190,144.9418421,-37.81515588,Cafe
169-173 Rankins Road,Crumbs Organic Bakehouse,12,144.9311131,-37.79436218,Cafe
135-137 Lygon Street,Universal Pizza,60,144.966075,-37.80391066,Cafe
358-360 Little Collins Street,Emilia Trattoria,70,144.9626388,-37.81528248,Cafe
392-406 Bourke Street,Le Petite Creperie,16,144.9617562,-37.81416355,Cafe
579-581 Elizabeth Street,Melbourne City Cafe,42,144.9582918,-37.80471151,Cafe
163-261 Spencer Street,Starbucks ,16,144.951187,-37.81501701,Cafe
1-4 Nicholson Street,Aromatic Cafe,140,144.9735223,-37.80899046,Cafe
18-22 Collins Street,Paris End Cafe,40,144.9728919,-37.81330535,Cafe
538-542 Little Collins Street,Five Points,12,144.956774,-37.81695942,Cafe
238 Little Bourke Street,Rice Workshop,60,144.9657813,-37.81224859,Cafe
1 MacArthur Street,Treasury Eats Cafe ,80,144.9755868,-37.81264492,Cafe
1-13 William Street,Williams Bar Cafe,16,144.9595106,-37.81943285,Cafe
63-75 Coventry Street,Manchipster Fish And Burger Bar,14,144.9679591,-37.82998246,Cafe
740-750 Swanston Street,Nori Sushi,20,144.9647653,-37.79899938,Cafe
365-371 Queen Street,Queens Kitchen & Cafe,50,144.9579933,-37.80988001,Cafe
990 La Trobe Street,Cafenatics,100,144.9467679,-37.81384049,Cafe
130-132 Bourke Street,Ajisen Ramen,76,144.9691823,-37.81223835,Cafe
99-109 Lygon Street,Toto's Pizza,28,144.9659744,-37.80449163,Cafe
607-619 Bourke Street,In A Rush ,36,144.9555529,-37.81677365,Cafe
255-259 Queensberry Street,Red Capsicum,40,144.9600381,-37.8044181,Cafe
341 King Street,Impresso Cafe,8,144.9535989,-37.81229604,Cafe
2 St Andrews Place,Macchiato,20,144.9773405,-37.81154319,Cafe
338-352 Bourke Street,Mama's Buoi,12,144.9632879,-37.81360425,Cafe
489-499 Elizabeth Street,Jasper Kitchen ,8,144.9596331,-37.80750344,Cafe
39-47 Peel Street,Chimac,25,144.9554234,-37.80718433,Cafe
335-349 Little Collins Street,Blahnik,24,144.9632938,-37.81554941,Cafe
790-814 Collins Street,Panda Loves Fish,72,144.9458305,-37.821044,Cafe
189-203 William Street,Ba Noi,20,144.9570408,-37.8146364,Cafe
96-100 Victoria Street,Draculas,320,144.964176,-37.80649729,Cafe
267-275 Flinders Lane,Xpressomondo,22,144.9654844,-37.81710105,Cafe
3 Southgate Avenue,Miyako Japanese Cuisine & Teppanyaki,40,144.9662623,-37.82066923,Cafe
228-236 Flinders Street,Kim Sing Chinese Restaurant,74,144.9665517,-37.81724878,Cafe
89-105 Collins Street,Laissez-Faire,28,144.9707498,-37.81492031,Cafe
201-203 Faraday Street,Shakahari Vegetarian Restaurant,76,144.967803,-37.79900338,Cafe
21-27 McKillop Street,Red Spice Road,12,144.9614687,-37.8152325,Cafe
360 La Trobe Street,Little Ipoh,50,144.9591368,-37.8107204,Cafe
519-539 St Kilda Road,Nando's Chevron,18,144.9798191,-37.8455379,Cafe
83-129 Victoria Street,Market Espresso & Trolley Hire,12,144.9572395,-37.80745984,Cafe
 Evan Walker Bridge,Ponyfish Island,120,144.9650858,-37.81968992,Cafe
46 Little La Trobe Street,Spice Up Hot Pot Dips ,26,144.9622513,-37.80929555,Cafe
18-38 Siddeley Street,Degani Bakery Cafe,72,144.9536422,-37.82253633,Cafe
269-321 Lonsdale Street,Pho Nom,38,144.9638386,-37.81245199,Cafe
336 Russell Street,Blu Point Caffe,45,144.9664575,-37.80822377,Cafe
159 Spring Street,City Wine Shop ,45,144.9724651,-37.81099169,Cafe
115-123 Hardware Street,White Mojo,14,144.9603936,-37.81210735,Cafe
93-101 Spring Street,Mamma's Boy,12,144.9731836,-37.81260039,Cafe
301-303 Swanston Street,Sahara Restaurant,168,144.9641938,-37.81107765,Cafe
612-624 Collins Street,Chick-In,4,144.9543505,-37.81867544,Cafe
284-294 La Trobe Street,Ba'get,33,144.9608495,-37.8100143,Cafe
 Peel Street,Merlo Coffee,36,144.9572395,-37.80745984,Cafe
234-236 Lygon Street,Carmine's Bistro,50,144.9672291,-37.80169334,Cafe
788-812 Bourke Street,In A Rush 800,30,144.9451224,-37.81888389,Cafe
608-610 Collins Street,Dumpling World ,80,144.9545688,-37.81861166,Cafe
141-143 Flinders Lane,Coda Bar & Restaurant,80,144.9698799,-37.81579783,Cafe
199-209 Collins Street,Brunetti City Square ,123,144.9674304,-37.81584777,Cafe
209 Lygon Street,Il Cantuccio Restaurant,100,144.9666464,-37.80043187,Cafe
612-624 Collins Street,Gloria Jean's Coffees,28,144.9543505,-37.81867544,Cafe
381-387 Flinders Lane,Threefold,30,144.961389,-37.81825094,Cafe
29-65 South Wharf Promenade,Charlie Lovett,76,144.9503336,-37.82409303,Cafe
381-387 Flinders Lane,Travistock House Cafe,39,144.961389,-37.81825094,Cafe
35-47 William Street,In a Rush,54,144.9591221,-37.81858017,Cafe
124 Lygon Street,Thai City Restaurant,55,144.9666993,-37.80443778,Cafe
840-850 Collins Street,Sushi Land,26,144.9445328,-37.82092961,Cafe
20-30 Convention Centre Place,West Village NYC,44,144.9523782,-37.82539976,Cafe
204-234 St Kilda Road,The Queens Of Heart Cafe,110,144.9694673,-37.82446912,Cafe
67-73 Hardware Lane,The Mill,44,144.960908,-37.81323451,Cafe
10 Gatehouse Drive,Al Capone's Pizzeria,30,144.9194456,-37.79170781,Cafe
136-154 Victoria Street,T-Square Club Cafe,98,144.9625116,-37.80619487,Cafe
159 Spring Street,City Wine Shop ,60,144.9724651,-37.81099169,Cafe
791-847 Collins Street,Koji Sushi,20,144.9457644,-37.82205739,Cafe
162-198 Clarendon Street,Freeo's,58,144.9840787,-37.81106468,Cafe
714-736 Swanston Street,Toothpicks Cafe,60,144.9648536,-37.79944075,Cafe
258-260 Flinders Lane,Eliana Lulu,18,144.9654744,-37.81664468,Cafe
435-437 St Kilda Road,Cafe Promenade,62,144.9775355,-37.83909862,Cafe
494-512 Bourke Street,Prime House,30,144.9587607,-37.81494883,Cafe
269-321 Lonsdale Street,Nabe One,10,144.9638386,-37.81245199,Cafe
8 Raffa Place,The Vertue of the Coffee Drink,80,144.9683873,-37.79769784,Cafe
31-39 Elizabeth Street,Mad Mex Flinders Lane,45,144.9643316,-37.81741878,Cafe
136-140 Elizabeth Street,Pho Flinders,30,144.963743,-37.81484304,Cafe
123-129 Lonsdale Street,Cafe Caledonia,6,144.9686769,-37.81072687,Cafe
232 Lygon Street,Ghans House,32,144.9672175,-37.80175883,Cafe
235-251 Bourke Street,Salero Kito Padang Melbourne,30,144.9665978,-37.81376503,Cafe
230 Grattan Street,Oriental House,30,144.9612468,-37.79739836,Cafe
327-343 Collins Street,Strozzi Restaurant,22,144.9632538,-37.81706705,Cafe
439-445 St Kilda Road,Commodity Cafe ,40,144.977677,-37.83949217,Cafe
3 Southgate Avenue,ENA Greek Street Food,80,144.9662623,-37.82066923,Cafe
1 Phillip Court,Felicci's,44,144.920988,-37.82600955,Cafe
16-32 Rakaia Way,Oscar's Table,40,144.9412614,-37.81460533,Cafe
320-386 Epsom Road,Pacinos Italian Restaurant,34,144.9155212,-37.78257294,Cafe
299-307 Bourke Street,Sensory Lab,29,144.9648958,-37.81436987,Cafe
8 Whiteman Street,Conservatory,200,144.9586604,-37.82312164,Cafe
1-9 Freshwater Place,TGI Fridays Restaurant & Bar,150,144.962154,-37.82167834,Cafe
389-395 Lonsdale Street,Tsuta sushi,12,144.9610121,-37.81288006,Cafe
100 St Kilda Road,Sake Restaurant & Bar,130,144.9682264,-37.82094188,Cafe
29-65 South Wharf Promenade,Meat Market South Wharf,110,144.9503336,-37.82409303,Cafe
130-148 William Street,Cocoa Bean Cafe,18,144.9589392,-37.81595642,Cafe
306-308 Lygon Street,Dimattina's Restaurant Bar,110,144.9674164,-37.79978612,Cafe
555 Bourke Street,Spin Coffee,70,144.9578132,-37.81636534,Cafe
51 Bourke Street,The Mess Hall,54,144.9717967,-37.81200666,Cafe
23-99 Commercial Road,My Serendipity Cafe,24,144.982664,-37.84633593,Cafe
318-322 Little Collins Street,Gourmet Curry Hut,28,144.9640121,-37.81488174,Cafe
2-14 Exploration Lane,The League Of Honest Coffee,60,144.9684463,-37.80913993,Cafe
262-274 King Street,Gangnam Pocha,45,144.9549294,-37.81372352,Cafe
247-257 William Street,William St Deli,80,144.9566979,-37.81317907,Cafe
482-484 Bourke Street,Original Sushi,10,144.9593794,-37.8150902,Cafe
11-15 Elizabeth Street,McDonalds,16,144.9644996,-37.81782922,Cafe
269-321 Lonsdale Street,New Shanghai,140,144.9638386,-37.81245199,Cafe
34-36 Block Place,Cafe Segovia,8,144.9643901,-37.81526825,Cafe
46-62 Cook Street,Hungry Jacks,70,144.9171939,-37.82984854,Cafe
125-127 Flinders Lane,Chin Chin Restaurant,100,144.9703998,-37.81568875,Cafe
23-37 Star Crescent,Subway,40,144.9378299,-37.81315031,Cafe
206-218 Bourke Street,China Red,120,144.9668768,-37.81259409,Cafe
132-136 Lygon Street,La Spaghetteria Ristorante,42,144.966693,-37.80395783,Cafe
374-380 Lonsdale Street,Degani Bakery Cafe,30,144.9611344,-37.81200936,Cafe
499 Macaulay Road,Grounded House A Coffee Place,4,144.9294451,-37.79458129,Cafe
430-436 Little Collins Street,Cafe Vue,20,144.9601101,-37.81596878,Cafe
25-35 Little Collins Street,East Bar & Restaurant,53,144.9727065,-37.81290511,Cafe
8 Whiteman Street,Degani @ Crown ,56,144.9586604,-37.82312164,Cafe
24-42 Newquay Promenade,Achelya Cafe,18,144.942139,-37.81434525,Cafe
551-555 Little Lonsdale Street,Delicious Asian Cuisines & Pho,24,144.9555653,-37.81329521,Cafe
158-164 Queen Street,NY Deli,70,144.9610146,-37.81453148,Cafe
260-262 Russell Street,Xian Famous Foods / Little Lamb Hot Pot,62,144.9672247,-37.8102551,Cafe
143-175 Harbour Esplanade,Mill & Bakery at Central Pier,15,144.9435654,-37.8165193,Cafe
186 King Street,Kedai Satay,10,144.9556966,-37.8156735,Cafe
31 Errol Street,S & J Sushi Noodle Town,20,144.9488818,-37.80430161,Cafe
196-208 Russell Street,Shou Sumiyaki,90,144.9678632,-37.81158809,Cafe
181 William Street,Mamma Mia,18,144.9573923,-37.81531863,Cafe
15-33 William Street,Hudson's Coffee,10,144.9591876,-37.8192157,Cafe
733-747 Collins Street,Mr Collins,24,144.9494345,-37.82089145,Cafe
242-284 Exhibition Street,Bros Sushi,50,144.9699756,-37.80941489,Cafe
234-236 Lygon Street,Carmine's Bistro,100,144.9672291,-37.80169334,Cafe
194-200 Bourke Street,Wagaya Japanese Restaurant,300,144.9672768,-37.8124312,Cafe
50-52 Little Bourke Street,Sharkfin Inn City,230,144.9709749,-37.81068514,Cafe
200-222 Queen Street,Goodovening,32,144.9604697,-37.81352285,Cafe
114-120 Russell Street,Postal Hall,35,144.9689753,-37.81350285,Cafe
11-15 Duckboard Place,Lee Ho Fook,70,144.9713154,-37.81559018,Cafe
550 Bourke Street,Chilangos,26,144.9573923,-37.81531863,Cafe
219-233 Elizabeth Street,Shanghai Street,24,144.9622831,-37.81321386,Cafe
23-29 Bourke Street,Society Cafe,90,144.9723947,-37.81181007,Cafe
520-536 Little Collins Street,Chestnut Exchange Cafe,16,144.957088,-37.81686865,Cafe
194-200 Bourke Street,Mr Ramen San,22,144.9672768,-37.8124312,Cafe
32-54 Lonsdale Street,Bluebag,13,144.9707325,-37.8091842,Cafe
578-606 Bourke Street,Sixpence Cafe,7,144.9561073,-37.81571393,Cafe
189-203 William Street,Tahini Lebanese Diner,24,144.9570408,-37.8146364,Cafe
189-195 Exhibition Street,Dosanko Larmen,34,144.9699123,-37.81128986,Cafe
310-312 Drummond Street,The Town Mouse,40,144.9691211,-37.79853797,Cafe
24-26 Southgate Avenue,Jarrah Restaurant & Bar,60,144.9671147,-37.82038777,Cafe
210-222 Russell Street,Ishiya Stonegrill,40,144.9679947,-37.81132789,Cafe
