date_time,sensor_id,hourly_counts,latitude,longitude,time
12/06/2019 11:00,1,1932,-37.8134944,144.9651532,11
12/06/2019 12:00,1,3284,-37.8134944,144.9651532,12
12/06/2019 13:00,1,3576,-37.8134944,144.9651532,13
12/06/2019 14:00,1,2902,-37.8134944,144.9651532,14
12/06/2019 15:00,1,2825,-37.8134944,144.9651532,15
12/06/2019 16:00,1,2653,-37.8134944,144.9651532,16
12/06/2019 17:00,1,2903,-37.8134944,144.9651532,17
13/06/2019 10:00,1,1302,-37.8134944,144.9651532,10
13/06/2019 11:00,1,1957,-37.8134944,144.9651532,11
13/06/2019 12:00,1,3208,-37.8134944,144.9651532,12
13/06/2019 13:00,1,3633,-37.8134944,144.9651532,13
13/06/2019 14:00,1,2914,-37.8134944,144.9651532,14
13/06/2019 15:00,1,2941,-37.8134944,144.9651532,15
13/06/2019 16:00,1,2974,-37.8134944,144.9651532,16
13/06/2019 17:00,1,3102,-37.8134944,144.9651532,17
14/06/2019 10:00,1,1409,-37.8134944,144.9651532,10
14/06/2019 11:00,1,2064,-37.8134944,144.9651532,11
14/06/2019 12:00,1,3293,-37.8134944,144.9651532,12
14/06/2019 13:00,1,3648,-37.8134944,144.9651532,13
14/06/2019 14:00,1,2917,-37.8134944,144.9651532,14
14/06/2019 15:00,1,2940,-37.8134944,144.9651532,15
14/06/2019 16:00,1,3193,-37.8134944,144.9651532,16
14/06/2019 17:00,1,3648,-37.8134944,144.9651532,17
15/06/2019 10:00,1,1328,-37.8134944,144.9651532,10
15/06/2019 11:00,1,2212,-37.8134944,144.9651532,11
15/06/2019 12:00,1,3452,-37.8134944,144.9651532,12
15/06/2019 13:00,1,3742,-37.8134944,144.9651532,13
15/06/2019 14:00,1,3261,-37.8134944,144.9651532,14
15/06/2019 15:00,1,3338,-37.8134944,144.9651532,15
15/06/2019 16:00,1,3420,-37.8134944,144.9651532,16
15/06/2019 17:00,1,4029,-37.8134944,144.9651532,17
16/06/2019 10:00,1,1458,-37.8134944,144.9651532,10
16/06/2019 11:00,1,2357,-37.8134944,144.9651532,11
16/06/2019 12:00,1,3351,-37.8134944,144.9651532,12
16/06/2019 13:00,1,3813,-37.8134944,144.9651532,13
16/06/2019 14:00,1,4207,-37.8134944,144.9651532,14
16/06/2019 15:00,1,4121,-37.8134944,144.9651532,15
16/06/2019 16:00,1,3952,-37.8134944,144.9651532,16
16/06/2019 17:00,1,3374,-37.8134944,144.9651532,17
17/06/2019 10:00,1,842,-37.8134944,144.9651532,10
17/06/2019 11:00,1,1422,-37.8134944,144.9651532,11
17/06/2019 12:00,1,2112,-37.8134944,144.9651532,12
17/06/2019 13:00,1,2100,-37.8134944,144.9651532,13
17/06/2019 14:00,1,2156,-37.8134944,144.9651532,14
17/06/2019 15:00,1,2458,-37.8134944,144.9651532,15
17/06/2019 16:00,1,2599,-37.8134944,144.9651532,16
17/06/2019 17:00,1,2422,-37.8134944,144.9651532,17
18/06/2019 10:00,1,1218,-37.8134944,144.9651532,10
18/06/2019 11:00,1,1781,-37.8134944,144.9651532,11
18/06/2019 12:00,1,2915,-37.8134944,144.9651532,12
18/06/2019 13:00,1,3364,-37.8134944,144.9651532,13
18/06/2019 14:00,1,2871,-37.8134944,144.9651532,14
18/06/2019 15:00,1,2826,-37.8134944,144.9651532,15
18/06/2019 16:00,1,2807,-37.8134944,144.9651532,16
18/06/2019 17:00,1,3159,-37.8134944,144.9651532,17
19/06/2019 10:00,1,1164,-37.8134944,144.9651532,10
19/06/2019 11:00,1,1950,-37.8134944,144.9651532,11
19/06/2019 12:00,1,3092,-37.8134944,144.9651532,12
19/06/2019 13:00,1,3522,-37.8134944,144.9651532,13
19/06/2019 14:00,1,2995,-37.8134944,144.9651532,14
19/06/2019 15:00,1,3052,-37.8134944,144.9651532,15
19/06/2019 16:00,1,3221,-37.8134944,144.9651532,16
19/06/2019 17:00,1,3508,-37.8134944,144.9651532,17
20/06/2019 10:00,1,1193,-37.8134944,144.9651532,10
20/06/2019 11:00,1,1963,-37.8134944,144.9651532,11
20/06/2019 12:00,1,3198,-37.8134944,144.9651532,12
20/06/2019 13:00,1,3719,-37.8134944,144.9651532,13
20/06/2019 14:00,1,2951,-37.8134944,144.9651532,14
20/06/2019 15:00,1,3038,-37.8134944,144.9651532,15
